size;ToE without paralleling;ToE with inner paralleling;ToE with outer paralleling
1;437.241;20000.000;65.6712
6;30.0943;177.41;4.66858
10;13.7128;45.2545;4.10052
15;13.335;18.1682;4.01126
20;14.419;11.6232;3.97557
24;15.2801;9.65858;3.95931
30;15.2688;8.16451;3.79614
36;16.7931;7.41883;3.78551
40;17.0701;7.04935;3.83776
60;18.6847;6.71097;3.89844
72;20.0849;6.48753;3.95133
80;21.1423;6.34275;4.06043
96;22.9008;6.44411;4.30698
120;21.2179;6.12846;3.87651
144;22.087;6.10726;4.29492
160;22.8199;6.35682;4.7413
180;21.8028;6.05053;4.05137
240;22.945;6.23283;4.4443
360;22.5719;6.04675;4.26381
480;23.7102;6.05542;6.7901
720;23.4781;6.06815;6.0807
