size;ToE without paralleling;ToE with inner paralleling;ToE with outer paralleling
1;399.929;20000.000;64.26
6;29.517;179.459;4.46068
10;13.3907;46.6005;4.00785
15;12.7175;18.5428;3.77079
20;13.9952;11.6879;3.79585
24;14.868;9.58513;3.80384
30;14.3671;8.06553;3.81713
36;15.5288;7.14382;3.68048
40;16.112;6.99438;3.79788
60;18.2075;6.59436;3.9649
72;19.1163;6.53062;3.83173
80;19.0815;6.26863;3.90669
96;20.2027;6.20133;3.8275
120;20.6646;6.0553;3.83096
144;20.8825;5.94436;3.80704
160;21.2001;5.89144;3.97009
180;21.7044;5.99039;3.75899
240;22.3237;7.43208;3.79967
360;22.3797;6.0962;4.57453
480;22.7281;6.1198;4.37801
720;22.9059;6.08844;4.71393
