size;ToE without paralleling;ToE with inner paralleling;ToE with outer paralleling
1;441.316;20000.000;74.0036
6;31.806;134.15;4.84309
10;13.7624;34.0727;4.53192
15;14.0667;13.0705;4.34868
20;15.0202;8.02725;4.30374
24;16.2584;6.78401;4.31352
30;15.8543;6.24042;4.55383
36;16.6826;5.57086;4.44585
40;18.1696;5.20983;4.44836
60;18.6378;4.79154;4.25871
72;19.8489;4.72161;4.26678
80;21.221;4.52457;4.33766
96;22.0642;4.65293;4.51099
120;21.043;4.29085;4.19144
144;21.9325;4.37352;4.38337
160;22.6971;4.61306;4.73466
180;21.5545;4.29071;4.29108
240;22.7652;4.56533;4.69424
360;23.1138;4.48036;4.65301
480;23.7724;5.15877;8.98969
720;23.4195;4.585;6.64292
