size;ToE without paralleling;ToE with inner paralleling;ToE with outer paralleling
1;146.002;20000.000;71.2823
6;15.3705;140.892;4.8106
10;13.2627;35.5764;4.36286
15;13.5464;13.0937;4.24916
20;15.0401;7.96936;4.15854
24;14.7478;6.56879;4.20459
30;15.2869;5.57223;4.52987
36;16.0351;5.1839;4.40086
40;17.2377;5.18179;4.41986
60;18.5088;4.49713;4.19825
72;19.175;4.41136;4.15189
80;19.1292;4.28011;4.12736
96;19.6744;4.41397;4.1349
120;20.86;4.1647;4.09703
144;21.6143;4.21539;4.12001
160;21.2657;4.06175;4.20587
180;21.4979;4.15076;4.0676
240;21.7263;4.05972;4.14414
360;22.3439;4.29453;4.69351
480;22.6653;4.15604;4.69949
720;23.0733;4.53399;4.8762
